year,wins,losses,draws,home_wins,home_losses,home_draws,away_wins,away_losses,away_draws,conf_finish,playoffs,teams_in_conf,gf,ga,gd
1996,15,17,0,10,6,0,5,11,0,5,0,5,43,56,-13
1997,15,17,0,11,3,0,4,12,0,4,1,5,40,53,-13
1998,11,21,0,6,10,0,5,11,0,6,0,6,53,66,-13
1999,12,20,0,6,10,0,6,10,0,5,0,6,38,53,-15
2000,13,13,6,9,4,3,4,9,3,2,1,4,47,49,-2
2001,7,14,6,6,5,2,1,9,4,3,0,4,35,52,-17
2002,12,14,2,7,7,0,5,7,2,1,1,5,49,49,0
2003,12,9,9,7,4,4,5,5,5,2,1,5,55,47,8
2004,8,13,9,6,6,3,2,7,6,4,1,5,42,43,-1
2005,17,7,8,11,2,3,6,5,5,1,1,6,55,37,18
2006,12,8,12,8,3,5,4,5,7,2,1,6,39,35,4
2007,14,8,8,8,3,4,6,5,4,2,1,7,51,43,8
2008,12,11,7,6,5,4,6,6,3,3,1,7,40,43,-3
2009,11,10,9,7,4,4,4,5,6,3,1,7,33,37,-4
2010,9,16,5,7,5,3,2,11,2,6,0,8,32,50,-18
2011,5,16,13,4,7,6,1,9,7,9,0,9,38,58,-20
2012,9,17,8,7,5,4,2,13,2,9,0,10,39,44,-5
2013,14,11,9,8,5,4,6,6,5,3,1,10,49,38,11
2014,17,13,4,11,4,2,6,9,2,2,1,10,51,46,5
2015,14,12,8,9,2,6,5,10,2,5,1,10,48,47,1
2016,11,14,9,8,5,4,3,9,5,7,0,10,44,54,-10